7:05 AM,Клуб кулинарии,около клуба кулинарии
7:20 AM,Клуб кулинарии,в кабинете домоводства
7:25 AM,Клуб кулинарии,во внутреннем дворике
7:05 AM,Цурузо Ямазаки,в клубе драмы
7:15 AM,Рику Сома,в клубе драмы
7:05 AM,Шозо Курасава,в клубе драмы
7:05 AM,Цурузо Ямазаки,в спортзале
7:05 AM,Рику Сома,в спортзале
7:05 AM,Шозо Курасава,в спортзале
7:05 AM,Дора Тамамото,около клуба драмы
7:05 AM,Борупен Сайшики,около оккультного клуба
7:05 AM,Шин Хигаку,в оккультном клубе
7:05 AM,Даку Ацу,в оккультном клубе
7:05 AM,Чоджо Текина,в оккультном клубе
7:05 AM,Шо Кунин,в клубе боевых искусств
7:05 AM,Джуку Рен,в клубе боевых искусств
7:05 AM,Будо Масута,в клубе боевых искусств
7:05 AM,Миюджи Шан,в клубе лёгкой музыки
7:05 AM,Энпицу Бьёга,около арт клуба
7:05 AM,Гейджу Цука,в арт клубе
7:05 AM,Гита Ямахато,около арт клуба
7:05 AM,Фуреддо Джонзу,в клубе фотографии
7:05 AM,Роджасу Норубиру,в клубе фотографии
7:05 AM,Сукуби Дубиду,в клубе фотографии
7:05 AM,Кага Куша,в научном клубе
7:05 AM,Хоро Гураму,в научном клубе
7:05 AM,Яку Заиши,в научном клубе
7:05 AM,Мака Тансей,около кабинета шитья
7:05 AM,Май Вайфу,около кабинета домоводства
7:05 AM,Берума Динкури,в кабинете домоводства
7:05 AM,Кокона Харука,около класса 1-2
7:05 AM,Токуко Китагава,около класса 1-2
7:05 AM,Тога Табара,около ворот
7:05 AM,Кьюджи Китагава,около ворот
7:05 AM,Хазу Кашибучи,около ворот
7:05 AM,Хоруда Пуресу,около ворот
7:05 AM,Мидори Гурин,около класса 2-2
7:05 AM,Кокума Джуцу,около класса 2-2
7:05 AM,Беши Такамине,Возле клуба видеоигр
7:05 AM,Гема Таку,Клуб видеоигр
7:05 AM,Эфуде Нуримоно,во внутреннем дворике кабинеты
7:05 AM,Мека Никару,во внутреннем дворике шкафчики
7:05 AM,Шима Шия,во внутреннем дворике клубы
7:05 AM,Киба Каваито,во внутреннем дворике клубы угол
7:05 AM,Мина Раи,во внутреннем дворике фонтан
7:05 AM,Дафуни Бурейку,во внутреннем дворике кабинеты угол
7:05 AM,Правонарушители,около западного японского сада
7:05 AM,Уэкия Энгейка,в клубе садоводства
7:05 AM,Куу Дере,Вход снаружи
7:05 AM,Киоши Тачикава,Вход снаружи
7:05 AM,Клуб спорта,на беговой дорожке
7:05 AM,Хана Дайдайяма,Коридоры 2 этаж
7:05 AM,Сакура Хагивара,Коридоры 2 этаж
7:05 AM,Химари Фуджита,Коридоры 1 этаж
7:05 AM,Кашико Мурасаки,Коридоры 1 этаж
7:05 AM,Кокоро Момоиро,Коридоры 3 этаж
7:05 AM,Сумире Сузуки,Коридоры 3 этаж
7:05 AM,Цубаки Уэсуги,в южной части крыши
7:05 AM,Хошико Мизудори,в южной части крыши
7:05 AM,Райбару Фумецу,в южной части крыши
7:05 AM,Супана Чуру,Лестница 1-2 этаж восток
7:05 AM,Сакью Басу,Патруль
7:05 AM,Инкью Басу,Патруль
7:05 AM,Отохико Меичи,в медпункте
7:05 AM,Рюто Иппонго,Патруль
7:05 AM,Пиппи Осу,Патруль
7:05 AM,Хому Курусу,во внутреннем дворике шкафчики угол
7:05 AM,Мусуме Роншаку,во внутреннем дворике
7:05 AM,Куроко Каменага,Патруль
7:05 AM,Аканэ Ториясу,Патруль
7:05 AM,Аой Рюгоку,Патруль
7:05 AM,Широми Тораёши,Патруль
8:00 AM,Сакура Хагивара,Коридоры 2 этаж
8:00 AM,Химари Фуджита,Коридоры 1 этаж
8:00 AM,Сумире Сузуки,Коридоры 3 этаж
8:00 AM,Эфуде Нуримоно,во внутреннем дворике кабинеты
8:00 AM,Мека Никару,во внутреннем дворике шкафчики
8:00 AM,Шима Шия,во внутреннем дворике клубы
8:00 AM,Киба Каваито,во внутреннем дворике клубы угол
8:00 AM,Мина Раи,во внутреннем дворике фонтан
8:00 AM,Дафуни Бурейку,во внутреннем дворике кабинеты угол
8:00 AM,Правонарушители,около западного японского сада
8:00 AM,Мака Тансей,около кабинета шитья
8:00 AM,Май Вайфу,Возле кабинета домоводства
8:00 AM,Кокона Харука,около класса 1-2
8:00 AM,Токуко Китагава,около класса 1-2
8:00 AM,Тога Табара,около ворот
8:00 AM,Кьюджи Китагава,около ворот
8:00 AM,Хазу Кашибучи,около ворот
8:00 AM,Хоруда Пуресу,около ворот
8:00 AM,Мидори Гурин,около класса 2-2
8:00 AM,Кокума Джуцу,около класса 2-2
1:00 PM,Куу Дере,около класса 2-2
1:00 PM,Хоруда Пуресу,около класса 2-2
1:00 PM,Пиппи Осу,Возле клуба видеоигр
1:00 PM,Рюто Иппонго,Возле клуба видеоигр
1:00 PM,Май Вайфу,Возле клуба видеоигр
1:00 PM,Гема Таку,Клуб видеоигр
1:00 PM,в клубе боевых искусств,около клуба боевых искусств
1:00 PM,Клуб лёгкой музыки,Клуб лёгкой музыки
1:00 PM,в арт клубе,около арт клуба
1:00 PM,в научном клубе,около клуба науки
1:00 PM,в клубе фотографии,около клуба фотографии
1:00 PM,Отохико Меичи,в южной части крыши
1:00 PM,Таро Ямада,в южной части крыши
1:00 PM,Сакью Басу,в южной части крыши
1:00 PM,Инкью Басу,в южной части крыши
1:00 PM,Райбару Фумецу,в южной части крыши
1:00 PM,Тога Табара,в южной части крыши
1:00 PM,Токуко Китагава,около ворот
1:00 PM,Кокона Харука,около ворот
1:00 PM,Супана Чуру,около ворот
1:00 PM,Кокума Джуцу,около ворот
1:00 PM,Хазу Кашибучи,около класса 1-2
1:00 PM,Хоруда Пуресу,около класса 1-2
1:00 PM,Шин Хигаку,около оккультного клуба
1:00 PM,Чоджо Текина,около оккультного клуба
1:00 PM,Даку Ацу,около оккультного клуба
1:00 PM,Цурузо Ямазаки,около клуба драмы
1:00 PM,Шозо Курасава,около клуба драмы
1:00 PM,Рику Сома,около клуба драмы
1:00 PM,Мидори Гурин,во внутреннем дворике шкафчики
1:00 PM,Клуб садоводства,около клуба садоводства
1:00 PM,Клуб спорта,между спортзалом и бассейном
1:00 PM,Задиры,на бассейне
1:00 PM,Кьюджи Конагава,Лестница 1-2 этаж восток
3:30 PM,Рику Сома,в классе 2-1
3:30 PM,Энпицу Бьёга,в классе 2-1
3:30 PM,Даку Ацу,в классе 2-1
3:30 PM,Сейо Аканиши,в классе 2-1
3:30 PM,Амай Одаяка,в классе 2-2
3:30 PM,Сакью Басу,в классе 2-2
3:30 PM,Куу Дере,в классе 2-2
3:30 PM,Инкью Басу,в классе 2-2
3:30 PM,Хоруда Пуресу,в классе 2-2
3:30 PM,Беши Такамине,в западном женском туалете на 2 этаже
3:30 PM,Джуку Рен,в западном мужском туалете на 2 этаже
3:30 PM,Дора Томамото,в восточном женском туалете на 2 этаже
3:30 PM,Фуреддо Джонзу,в восточном мужском туалете на 2 этаже
3:30 PM,Кенко Сукояка,в классе 3-1
3:30 PM,Чоджо Текина,в классе 3-1
3:30 PM,Шозо Куросава,в классе 3-1
3:30 PM,Борупен Сайшики,в классе 3-1
3:30 PM,Шоку Цубурая,в классе 3-2
3:30 PM,Цурузо Ямазаки,в классе 3-2
3:30 PM,Шин Хигаку,в классе 3-2
3:30 PM,Таро Ямада,в классе 3-2
3:30 PM,Гейджу Цука,в классе 3-2
3:30 PM,Сукуби Дубиду,в восточном мужском туалете на 3 этаже
3:30 PM,Роджасу Норубиру,в западном мужском туалете на 3 этаже
3:30 PM,Задиры,в западном женском туалете на 3 этаже
3:30 PM,Киба Каваито,в западном женском туалете на 3 этаже
3:30 PM,Хазу Кашибучи,в кабинете шитья
3:30 PM,Токуко Китагава,в классе 1-2
3:30 PM,Аджия Ашитоми,в классе 1-2
3:30 PM,Супана Чуру,в классе 1-2
3:30 PM,Мака Тансей,в классе 1-2
3:30 PM,Саки Мию,в классе 1-1
3:30 PM,Кокона Харука,в классе 1-1
3:30 PM,Кокума Джуцу,в классе 1-1
3:30 PM,Эфуде Нуримоно,в классе 1-1
3:30 PM,Миюджи Шан,Жен туалет класс 1-1
3:30 PM,Будо Масута,Муж туалет класс 1-1
3:30 PM,Гита Ямахато,Жен туалет класс 1-2
3:30 PM,Шо Кунин,Муж туалет класс 1-2
3:30 PM,Отохико Меичи,в медпункте
3:30 PM,Мина Раи,Коридоры 1 этаж
3:30 PM,Рюто Иппонго,Коридоры 1 этаж
3:30 PM,Химари Фуджита,Коридоры 1 этаж
3:30 PM,Тога Табара,во внутреннем дворике
3:30 PM,Гема Таку,во внутреннем дворике
3:30 PM,Сакура Хагивара,Коридоры 2 этаж
3:30 PM,Пиппи Осу,Коридоры 2 этаж
3:30 PM,Шима Шия,Коридоры 2 этаж
3:30 PM,Кага Куша,Коридоры 3 этаж
3:30 PM,Сумире Сузуки,Коридоры 3 этаж
3:30 PM,Мидори Гурин,Коридоры 3 этаж
3:30 PM,Дафуни Бурейку,Коридоры 3 этаж
3:30 PM,Берума Динкури ,в южной части крыши
3:30 PM,Кьюджи Конагава,в южной части крыши
3:30 PM,Май Вайфу,в южной части крыши
3:30 PM,Цубаки Уэсуги,в южной части крыши
3:30 PM,Правонарушители,около западного японского сада
3:30 PM,Уэкия Энгейка,около клуба садоводства
3:30 PM,Все спорт,на бассейне
3:30 PM,Киоши Тачикава,Ворота
3:30 PM,Учителя,в учительской
3:30 PM,Хоро Гураму,в западной кладовке на 2 этаже
3:30 PM,Яку Заиши,в восточной кладовке на 2 этаже
3:30 PM,Хому Курусу,в восточной кладовке на 3 этаже
3:30 PM,Мека Никуру,в западной кладовке на 3 этаже